date,value
16/10/2009,1000
23/10/2009,1009.05
30/10/2009,1035.74
06/11/2009,1061.71
13/11/2009,1052.69
20/11/2009,1051.32
27/11/2009,1040.96
04/12/2009,1037.1
11/12/2009,1039.45
18/12/2009,1059.19
25/12/2009,1072.58
08/01/2010,1106.28
15/01/2010,1179.63
22/01/2010,1244.81
29/01/2010,1333.93
05/02/2010,1377.2
12/02/2010,1396.21
26/02/2010,1407.55
05/03/2010,1402.87
12/03/2010,1378.09
19/03/2010,1341.59
26/03/2010,1327.93
02/04/2010,1326.4
09/04/2010,1326.89
16/04/2010,1326.51
23/04/2010,1338.15
07/05/2010,1392.09
14/05/2010,1417.42
21/05/2010,1445.13
28/05/2010,1472.9
04/06/2010,1502.02
11/06/2010,1543.72
18/06/2010,1569.04
25/06/2010,1576.84
02/07/2010,1583.18
09/07/2010,1581.85
16/07/2010,1579.16
23/07/2010,1563.97
30/07/2010,1555.3
06/08/2010,1544.71
13/08/2010,1527.06
20/08/2010,1513.6
27/08/2010,1485.9
03/09/2010,1450.22
10/09/2010,1413.41
17/09/2010,1375.81
15/10/2010,1301.31
22/10/2010,1277.04
29/10/2010,1259.11
05/11/2010,1242.87
12/11/2010,1220.7
19/11/2010,1189.71
26/11/2010,1157.45
03/12/2010,1124.98
10/12/2010,1101.42
17/12/2010,1086.38
24/12/2010,1082.84
31/12/2010,1122.68
07/01/2011,1126.94
14/01/2011,1111.84
21/01/2011,1107.85
28/01/2011,1104.64
11/02/2011,1091.33
18/02/2011,1060.47
25/02/2011,1036.51
04/03/2011,1023.8
11/03/2011,993.99
18/03/2011,989.17
25/03/2011,989.43
01/04/2011,1012.63
08/04/2011,1021.68
15/04/2011,1021.66
22/04/2011,1018.97
29/04/2011,1043.22
06/05/2011,1069.03
13/05/2011,1074.29
20/05/2011,1075.6
27/05/2011,1071.02
03/06/2011,1054.6
10/06/2011,1046.86
17/06/2011,1031.43
24/06/2011,1024.77
01/07/2011,1030.85
08/07/2011,1030.64
15/07/2011,1016.87
22/07/2011,1009.3
29/07/2011,1013.06
05/08/2011,1019.16
12/08/2011,1033.24
19/08/2011,1064.1
26/08/2011,1064.26
02/09/2011,1057.11
09/09/2011,1041.26
16/09/2011,1020.38
23/09/2011,991.34
30/09/2011,973.73
14/10/2011,947.54
21/10/2011,939.16
28/10/2011,932.62
04/11/2011,919.44
11/11/2011,898.18
18/11/2011,885.38
25/11/2011,879.05
02/12/2011,868.31
09/12/2011,855.54
16/12/2011,853.61
23/12/2011,856.64
30/12/2011,947.58
06/01/2012,975.31
13/01/2012,981.05
20/01/2012,982.56
03/02/2012,970.71
10/02/2012,965.23
17/02/2012,949.33
24/02/2012,977.09
02/03/2012,1163.96
09/03/2012,1170.57
16/03/2012,1223.25
23/03/2012,1230.18
30/03/2012,1347.5
06/04/2012,1374.9
13/04/2012,1416.87
20/04/2012,1426.23
27/04/2012,1488.14
04/05/2012,1501.46
11/05/2012,1464.82
18/05/2012,1426
25/05/2012,1408.81
01/06/2012,1386.9
08/06/2012,1414.72
15/06/2012,1450.23
22/06/2012,1425.66
29/06/2012,1460.52
06/07/2012,1421.94
13/07/2012,1372.52
20/07/2012,1327.45
27/07/2012,1327.08
03/08/2012,1369.57
10/08/2012,1363.41
17/08/2012,1370.36
24/08/2012,1333.67
31/08/2012,1294.39
07/09/2012,1267.02
14/09/2012,1285.63
21/09/2012,1260.54
28/09/2012,1247.34
12/10/2012,1202.96
19/10/2012,1174.8
26/10/2012,1230.14
02/11/2012,1251.2
09/11/2012,1193.66
16/11/2012,1134.98
23/11/2012,1077.34
30/11/2012,1082.82
07/12/2012,1052.99
14/12/2012,1171.98
21/12/2012,1146.64
28/12/2012,1136.62
04/01/2013,1148.08
11/01/2013,1232.35
18/01/2013,1245.84
25/01/2013,1227.84
01/02/2013,1219.39
08/02/2013,1208.37
22/02/2013,1165.35
01/03/2013,1117.04
08/03/2013,1072.81
15/03/2013,1213.31
22/03/2013,1156.63
29/03/2013,1151.47
05/04/2013,1141.22
12/04/2013,1117.24
19/04/2013,1086.04
26/04/2013,1049.02
03/05/2013,1026.85
10/05/2013,1009.48
17/05/2013,990.78
24/05/2013,991.25
31/05/2013,1013.71
07/06/2013,981.73
14/06/2013,954.8
21/06/2013,927.53
28/06/2013,1133.14
05/07/2013,1118.13
12/07/2013,1084.41
19/07/2013,1071.1
26/07/2013,1088.45
02/08/2013,1162.75
09/08/2013,1141.49
16/08/2013,1117.32
23/08/2013,1083.99
30/08/2013,1109.14
06/09/2013,1071.03
13/09/2013,1011.65
20/09/2013,990.97
27/09/2013,936.89
11/10/2013,894.41
18/10/2013,881.74
25/10/2013,892.47
01/11/2013,1128.75
08/11/2013,1090.16
15/11/2013,1089.35
22/11/2013,1039.5
29/11/2013,996.52
06/12/2013,970.85
13/12/2013,1117.3
20/12/2013,1115.29
27/12/2013,1113.73
03/01/2014,1176.12
10/01/2014,1167.53
17/01/2014,1188.44
24/01/2014,1173.99
31/01/2014,1168.25
07/02/2014,1164.7
14/02/2014,1094.83
21/02/2014,1036.86
28/02/2014,981.06
07/03/2014,934.39
14/03/2014,945.32
21/03/2014,929.43
28/03/2014,1067.44
04/04/2014,1064.87
11/04/2014,1067.42
18/04/2014,1047.97
25/04/2014,1068.18
02/05/2014,1143.87
09/05/2014,1163.06
16/05/2014,1161.39
23/05/2014,1115.36
30/05/2014,1108.64
06/06/2014,1088.41
13/06/2014,1075.43
20/06/2014,1042.84
27/06/2014,1058.67
04/07/2014,1129.42
11/07/2014,1100.15
18/07/2014,1080.06
25/07/2014,1060.75
01/08/2014,1195.36
08/08/2014,1171.63
15/08/2014,1120.82
22/08/2014,1076.47
29/08/2014,1107.19
05/09/2014,1133.85
12/09/2014,1069.11
19/09/2014,997.25
26/09/2014,935.81
10/10/2014,911.03
17/10/2014,962.72
24/10/2014,967.31
31/10/2014,1112
07/11/2014,1062.46
14/11/2014,1050.72
21/11/2014,1012.67
28/11/2014,949.65
05/12/2014,919
12/12/2014,1135.55
19/12/2014,1120.33
26/12/2014,1076.63
02/01/2015,1048.88
09/01/2015,1006.34
16/01/2015,1055.09
23/01/2015,1091.48
30/01/2015,1054.13
06/02/2015,1087.32
13/02/2015,1088.28
27/02/2015,1023.04
06/03/2015,960.29
13/03/2015,887.61
20/03/2015,821.39
27/03/2015,804.59
03/04/2015,763.95
10/04/2015,792.92
17/04/2015,721.61
24/04/2015,702.46
01/05/2015,761.02
08/05/2015,830.13
15/05/2015,757.66
22/05/2015,676.05
29/05/2015,661.55
05/06/2015,623.47
12/06/2015,581.25
19/06/2015,556.72
26/06/2015,640.64
